CONTRACTOR,LOCALITY,LOCALITY NAME,2021 ANESTHESIA CONVERSION FACTOR
10112,00,ALABAMA,21.08
02102,01,ALASKA*,29.88
03102,00,ARIZONA,21.21
07102,13,ARKANSAS,20.34
01112,54,BAKERSFIELD,21.98
01112,55,CHICO,21.71
01182,71,EL CENTRO,21.73
01112,56,FRESNO,21.71
01112,57,HANFORD-CORCORAN,21.71
01182,18,LOS ANGELES-LONG BEACH-ANAHEIM (LOS ANGE,22.64
01182,26,LOS ANGELES-LONG BEACH-ANAHEIM (ORANGE C,22.64
01112,58,MADERA,21.71
01112,59,MERCED,21.71
01112,60,MODESTO,21.71
01112,51,NAPA,22.39
01112,07,SAN FRANCISCO-OAKLAND-BERKELEY (ALAMEDA/,23.26
01182,17,OXNARD-THOUSAND OAKS-VENTURA,22.26
01112,61,REDDING,21.71
01112,62,RIVERSIDE-SAN BERNARDINO-ONTARIO,22.10
01112,63,SACRAMENTO-ROSEVILLE-FOLSOM,21.90
01112,64,SALINAS,22.42
01182,72,SAN DIEGO-CHULA VISTA-CARLSBAD,22.14
01112,05,SAN FRANCISCO-OAKLAND-BERKELEY (SAN FRAN,23.26
01112,52,SAN FRANCISCO-OAKLAND-BERKELEY (MARIN CN,23.16
01112,65,SAN JOSE-SUNNYVALE-SANTA CLARA (SAN BENI,23.56
01182,73,SAN LUIS OBISPO-PASO ROBLES,21.77
01112,06,SAN FRANCISCO-OAKLAND-BERKELEY (SAN MATE,23.26
01112,09,SAN JOSE-SUNNYVALE-SANTA CLARA (SANTA CL,23.70
01112,66,SANTA CRUZ-WATSONVILLE,22.35
01182,74,SANTA MARIA-SANTA BARBARA,22.20
01112,67,SANTA ROSA-PETALUMA,22.28
01112,68,STOCKTON,21.71
01112,53,VALLEJO,22.39
01112,69,VISALIA,21.71
01112,70,YUBA CITY,21.71
01112,75,REST OF CALIFORNIA,21.71
04112,01,COLORADO,21.43
13102,00,CONNECTICUT,22.48
12202,01,DC + MD/VA SUBURBS,23.66
12102,01,DELAWARE,21.62
09102,03,FORT LAUDERDALE,22.69
09102,04,MIAMI,23.78
09102,99,REST OF FLORIDA,21.93
10212,01,ATLANTA,21.43
10212,99,REST OF GEORGIA,21.02
01212,01,"HAWAII, GUAM",21.79
02202,00,IDAHO,20.38
06102,16,CHICAGO,23.04
06102,12,EAST ST. LOUIS,22.23
06102,15,SUBURBAN CHICAGO,22.53
06102,99,REST OF ILLINOIS,21.50
08102,00,INDIANA,20.52
05102,00,IOWA,20.49
05202,00,KANSAS,20.54
15102,00,KENTUCKY,20.89
07202,01,NEW ORLEANS,22.01
07202,99,REST OF LOUISIANA,21.53
14112,03,SOUTHERN MAINE,21.09
14112,99,REST OF MAINE,20.76
12302,01,BALTIMORE/SURR. CNTYS,22.77
12302,99,REST OF MARYLAND,21.96
14212,01,METROPOLITAN BOSTON,22.87
14212,99,REST OF MASSACHUSETTS,22.00
08202,01,DETROIT,22.37
08202,99,REST OF MICHIGAN,21.23
06202,00,MINNESOTA,20.75
07302,00,MISSISSIPPI,20.59
05302,02,METROPOLITAN KANSAS CITY,21.26
05302,01,METROPOLITAN ST. LOUIS,21.33
05302,99,REST OF MISSOURI,20.83
03202,01,MONTANA**,21.53
05402,00,NEBRASKA,20.24
01312,00,NEVADA**,22.11
14312,40,NEW HAMPSHIRE,21.58
12402,01,NORTHERN NJ,23.01
12402,99,REST OF NEW JERSEY,22.61
04212,05,NEW MEXICO,21.43
13202,01,MANHATTAN,24.55
13202,02,NYC SUBURBS/LONG ISLAND,25.33
13202,03,POUGHKPSIE/N NYC SUBURBS,23.22
13292,04,QUEENS,25.46
13282,99,REST OF NEW YORK,21.08
11502,00,NORTH CAROLINA,21.08
03302,01,NORTH DAKOTA**,20.81
15202,00,OHIO,21.39
04312,00,OKLAHOMA,20.87
02302,01,PORTLAND,21.53
02302,99,REST OF OREGON,20.77
12502,01,METROPOLITAN PHILADELPHIA,22.47
12502,99,REST OF PENNSYLVANIA,21.21
09202,20,PUERTO RICO,21.57
14412,01,RHODE ISLAND,22.05
11202,01,SOUTH CAROLINA,20.83
03402,02,SOUTH DAKOTA**,20.70
10312,35,TENNESSEE,20.53
04412,31,AUSTIN,21.15
04412,20,BEAUMONT,20.78
04412,09,BRAZORIA,21.59
04412,11,DALLAS,21.44
04412,28,FORT WORTH,21.21
04412,15,GALVESTON,21.60
04412,18,HOUSTON,22.07
04412,99,REST OF TEXAS,20.86
03502,09,UTAH,21.02
14512,50,VERMONT,21.00
11302,00,VIRGINIA,21.41
09202,50,VIRGIN ISLANDS,21.57
02402,02,SEATTLE (KING CNTY),22.53
02402,99,REST OF WASHINGTON,21.27
11402,16,WEST VIRGINIA,21.34
06302,00,WISCONSIN,20.44
03602,21,WYOMING**,21.35
